Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)
147.400	-0.015	147.346	211.466	0.128
147.500	-0.040	147.445	342.873	0.785
147.600	0.033	147.545	326.425	1.253
147.700	-0.067	147.644	364.367	1.678
147.800	-0.032	147.741	340.230	2.432
147.900	0.059	147.845	353.138	2.535
148.000	-0.007	147.945	449.676	3.076
148.100	-0.034	148.043	346.381	3.558
148.200	0.020	148.145	409.737	3.944
148.300	0.021	148.243	369.063	4.365
148.400	0.031	148.339	387.798	4.563
148.500	0.001	148.449	412.407	5.056
148.600	0.045	148.542	447.206	5.447
148.700	-0.067	148.643	505.959	5.931
148.800	-0.154	148.748	462.819	0.094
148.900	0.018	148.841	552.504	0.543
149.000	-0.036	148.947	458.117	1.195
149.100	0.008	149.041	459.788	1.499
149.200	0.022	149.138	441.056	2.115
149.300	-0.037	149.241	356.089	2.447
149.400	0.009	149.343	353.519	2.957
149.500	-0.064	149.448	292.857	3.372
149.600	-0.051	149.557	244.270	3.667
149.700	0.033	149.643	244.387	3.944
149.800	-0.007	149.745	223.062	4.313
149.900	-0.018	149.845	213.212	4.660
150.000	-0.007	149.945	212.658	5.043
150.100	-0.019	150.044	173.844	5.358
150.200	0.050	150.145	196.425	5.628
150.300	0.035	150.241	199.146	6.124
150.400	0.026	150.340	161.664	0.342
150.500	0.004	150.441	132.215	0.798
150.600	-0.027	150.543	74.218	0.936
150.700	0.002	150.639	81.761	0.599
150.800	0.049	150.743	105.497	0.897
150.900	0.041	150.848	113.263	1.309
151.000	0.005	150.945	120.307	1.337
151.100	-0.034	151.043	161.387	1.724
151.200	0.041	151.147	174.709	2.357
151.300	-0.003	151.245	169.358	2.777
151.400	-0.000	151.343	126.205	3.316
151.500	-0.001	151.449	102.088	3.349
151.600	0.028	151.544	99.888	3.494
151.700	0.037	151.644	113.586	3.374
151.800	-0.008	151.743	167.830	3.596
151.900	-0.057	151.843	250.319	4.055
152.000	-0.029	151.947	266.338	4.640
152.100	0.014	152.049	305.540	5.090
152.200	0.028	152.146	269.141	5.487
152.300	-0.060	152.241	348.799	5.755
152.400	-0.041	152.351	372.726	0.136
152.500	-0.105	152.450	371.920	0.413
152.600	0.054	152.547	457.477	0.956
152.700	0.020	152.640	369.687	1.427
152.800	-0.042	152.742	457.157	1.780
152.900	-0.030	152.846	405.639	2.353
153.000	-0.024	152.943	412.298	2.694
153.100	0.007	153.041	407.992	3.264
153.200	-0.045	153.140	341.551	3.541
153.300	0.108	153.241	396.708	3.905
153.400	-0.029	153.344	340.394	4.359
153.500	-0.056	153.442	405.659	4.707
153.600	0.028	153.547	368.315	5.344
153.700	-0.030	153.643	341.932	5.634
153.800	-0.088	153.744	351.438	6.245
153.900	0.033	153.841	269.472	0.373
154.000	0.003	153.949	231.304	0.725
154.100	0.015	154.044	171.156	1.192
154.200	-0.024	154.143	141.491	1.156
154.300	-0.024	154.247	163.401	1.355
154.400	0.032	154.346	153.807	1.543
154.500	0.014	154.441	187.813	1.928
154.600	0.015	154.547	192.456	2.456
154.700	0.031	154.646	160.100	2.782
154.800	-0.015	154.747	129.265	2.997
